Leptospira_idonii_GCF_004770995	Leptospira_haakeii_GCF_002812045	70.905
Leptospira_ognonensis_GCF_004770745	Leptospira_haakeii_GCF_002812045	69.723
Leptospira_iowaensis_GCF_040833965	Leptospira_haakeii_GCF_002812045	70.266
Leptospira_sanjuanensis_GCF_022267325	Leptospira_haakeii_GCF_002812045	71.505
Leptospira_mgodei_GCF_040833985	Leptospira_haakeii_GCF_002812045	70.405
Leptospira_milleri_GCF_040833955	Leptospira_haakeii_GCF_002812045	70.253
Leptospira_brenneri_GCF_002812125	Leptospira_haakeii_GCF_002812045	70.367
Leptospira_santarosai_GCF_000313175	Leptospira_haakeii_GCF_002812045	71.530
Leptospira_ellisii_GCF_002811955	Leptospira_haakeii_GCF_002812045	71.099
Leptospira_biflexa_GCF_000017685	Leptospira_haakeii_GCF_002812045	70.123
Leptospira_semungkisensis_GCF_004770055	Leptospira_haakeii_GCF_002812045	77.069
Leptospira_bourretii_GCF_004769285	Leptospira_haakeii_GCF_002812045	70.371
Leptospira_terpstrae_GCF_000332495	Leptospira_haakeii_GCF_002812045	70.360
Leptospira_gomenensis_GCF_004770155	Leptospira_haakeii_GCF_002812045	71.141
Leptospira_abararensis_GCF_016918735	Leptospira_haakeii_GCF_002812045	70.332
Leptospira_harrisiae_GCF_002811945	Leptospira_haakeii_GCF_002812045	70.470
Leptospira_meyeri_GCF_004368965	Leptospira_haakeii_GCF_002812045	70.382
Leptospira_kmetyi_GCF_000243735	Leptospira_haakeii_GCF_002812045	71.494
Leptospira_gorisiae_GCF_040833975	Leptospira_haakeii_GCF_002812045	71.472
Leptospira_cinconiae_GCF_040833995	Leptospira_haakeii_GCF_002812045	86.238
Leptospira_sarikeiensis_GCF_004769615	Leptospira_haakeii_GCF_002812045	81.106
Leptospira_perolatii_GCF_002811875	Leptospira_haakeii_GCF_002812045	72.429
Leptospira_bouyouniensis_GCF_004770445	Leptospira_haakeii_GCF_002812045	70.108
Leptospira_dzoumogneensis_GCF_004770895	Leptospira_haakeii_GCF_002812045	89.269
Leptospira_mtsangambouensis_GCF_004770475	Leptospira_haakeii_GCF_002812045	70.244
Leptospira_saintgironsiae_GCF_002811765	Leptospira_haakeii_GCF_002812045	89.580
Leptospira_licerasiae_GCF_000244755	Leptospira_haakeii_GCF_002812045	87.186
Leptospira_neocaledonica_GCF_002812205	Leptospira_haakeii_GCF_002812045	87.572
Leptospira_yasudae_GCF_003545925	Leptospira_haakeii_GCF_002812045	71.488
Leptospira_fainei_GCF_000306235	Leptospira_haakeii_GCF_002812045	72.705
Leptospira_ainlahdjerensis_GCF_016919175	Leptospira_haakeii_GCF_002812045	71.496
Leptospira_jelokensis_GCF_004769775	Leptospira_haakeii_GCF_002812045	70.089
Leptospira_vanthielii_GCF_000332455	Leptospira_haakeii_GCF_002812045	70.277
Leptospira_ryugenii_GCF_003114855	Leptospira_haakeii_GCF_002812045	69.588
Leptospira_tipperaryensis_GCF_001729245	Leptospira_haakeii_GCF_002812045	71.534
Leptospira_adleri_GCF_002811985	Leptospira_haakeii_GCF_002812045	71.432
Leptospira_ellinghausenii_GCF_003114815	Leptospira_haakeii_GCF_002812045	70.241
Leptospira_congkakensis_GCF_004770265	Leptospira_haakeii_GCF_002812045	70.546
Leptospira_mayottensis_GCF_000306675	Leptospira_haakeii_GCF_002812045	71.607
Leptospira_kobayashii_GCF_003114835	Leptospira_haakeii_GCF_002812045	70.492
Leptospira_selangorensis_GCF_004769405	Leptospira_haakeii_GCF_002812045	91.989
Leptospira_chreensis_GCF_016919165	Leptospira_haakeii_GCF_002812045	70.404
Leptospira_weilii_GCF_006874745	Leptospira_haakeii_GCF_002812045	71.425
Leptospira_wolbachii_GCF_000332515	Leptospira_haakeii_GCF_002812045	70.209
Leptospira_yanagawae_GCF_000332475	Leptospira_haakeii_GCF_002812045	70.137
Leptospira_kirschneri_GCF_000243695	Leptospira_haakeii_GCF_002812045	71.649
Leptospira_koniambonensis_GCF_004769555	Leptospira_haakeii_GCF_002812045	89.111
Leptospira_noumeaensis_GCF_004770765	Leptospira_haakeii_GCF_002812045	70.389
